Tipo,Nivel de complejidad,Rango de precio,Portabilidad,Popularidad,Tipo de sonido,Ruido,Necesidad de cambiar con los años,Mantenimiento,Nombre_instrumento,Intruemnto,Precio_real
Cuerda,Alto,Medio,Moderada,Alta,Acústico,Bajo,No,Medio,Stentor SR1102,Violonchelo,848
Cuerda,Alto,Medio,Moderada,Alta,Acústico,Bajo,No,Bajo,Yamaha VC5S44,Violonchelo,749
Cuerda,Medio,Económico,Moderada,Media,Acústico,Bajo,No,Medio,Roth & Junius RJC,Violonchelo,539
Cuerda,Alto,Alto,Moderada,Alta,Acústico,Bajo,No,Alto,Lothar Semmlinger No. 135A,Violonchelo,2783
Cuerda,Medio,Medio,Moderada,Alta,Acústico,Bajo,No,Medio,Thomann Student Cello Set 4/4,Violonchelo,339
Cuerda,Medio,Medio,Moderada,Alta,Acústico,Bajo,No,Medio,Stentor Elysia,Violonchelo,2200
Cuerda,Bajo,Económico,Moderada,Alta,Acústico,Bajo,No,Bajo,Primavera 90,Violonchelo,566.
Cuerda,Alto,Medio,Difícil,Media,Acústico,Bajo,No,Medio,Roth & Junius Europe 4/4,Violonchelo,949
Cuerda,Medio,Alto,Difícil,Alta,Acústico,Bajo,No,Alto,Lothar Semmlinger No. 200,Violonchelo,3680
Cuerda,Bajo,Económico,Fácil,Media,Acústico,Bajo,No,Bajo,Gewa Allegro VC1,Violonchelo,799
Cuerda,Bajo,Económico,Fácil,Alta,Acústico,Bajo,Sí,Bajo,Stentor Student 1/4,Violonchelo,249
Cuerda,Bajo,Económico,Fácil,Media,Acústico,Bajo,Sí,Bajo,Primavera 90 1/2,Violonchelo,199
Cuerda,Medio,Medio,Moderada,Alta,Acústico,Bajo,Sí,Medio,Thomann Classic Cello Set 3/4,Violonchelo,320
Cuerda,Bajo,Económico,Fácil,Alta,Acústico,Bajo,Sí,Bajo,Cremona SC-130 1/4,Violonchelo,280
